lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff
64592765-9e5,generation_0,56679462,0.2897674418604651,0.10883720930232556,0.0,43,0.0,0.25,0.65,0.41,0.04,0.38,0.42,40,60,139,7,0,0
dedbdfa0-a65,generation_-1,d6535e25,0.0,0.0,0.0,0,,0.03,0.02,0.14,0.91,0.62,0.15,0,0,0,0,0,0
dedbdfa0-a65,generation_0,d6535e25,-3.469446951953614e-18,0.02666666666666666,0.0,15,0.0,0.03,0.02,0.14,0.91,0.62,0.15,15,12,51,0,0,0
882aa81d-65d,generation_-1,f54caaa2,0.0,0.0,0.0,0,,0.48,0.46,0.62,0.27,0.86,0.56,0,0,0,0,0,0
882aa81d-65d,generation_0,f54caaa2,0.30607142857142855,0.11320105820105816,0.0,378,1.0,0.48,0.46,0.62,0.27,0.86,0.56,0,12,1988,1151,0,0
2b352360-012,generation_-1,5950ebc5,0.0,0.0,0.0,0,,0.93,0.94,0.53,0.56,0.44,0.18,0,0,0,0,0,0
2b352360-012,generation_0,5950ebc5,0.3653738576571587,0.13008307947936856,0.0,3611,1.0,0.93,0.94,0.53,0.56,0.44,0.18,0,0,13777,14406,0,0
439b62cc-8e3,generation_-1,678ce061,0.0,0.0,0.0,0,,0.2,0.21,0.89,0.55,0.91,0.91,0,0,0,0,0,0
439b62cc-8e3,generation_0,678ce061,0.2117647058823529,0.08705882352941173,0.0,17,1.0,0.2,0.21,0.89,0.55,0.91,0.91,0,0,81,65,0,0
061e0bd3-f3a,generation_-1,4f4a9179,0.0,0.0,0.0,0,,0.8,0.12,0.81,0.89,0.08,0.11,0,0,0,0,0,0
061e0bd3-f3a,generation_0,4f4a9179,-0.010000000000000004,0.02444444444444444,0.0,9,1.0,0.8,0.12,0.81,0.89,0.08,0.11,0,0,29,37,0,0
c1a9e22d-8e2,generation_-1,368fa478,0.0,0.0,0.0,0,,0.46,0.02,0.75,0.92,0.17,0.98,0,0,0,0,0,0
c1a9e22d-8e2,generation_0,368fa478,-0.030000000000000013,0.019999999999999993,0.0,5,1.0,0.46,0.02,0.75,0.92,0.17,0.98,2,0,17,17,0,0
f99e5a73-dc5,generation_-1,d69ddfa7,0.0,0.0,0.0,0,,0.05,0.15,0.84,0.14,0.66,0.79,0,0,0,0,0,0
f99e5a73-dc5,generation_0,d69ddfa7,0.2945065789473684,0.10989035087719297,0.0,456,1.0,0.05,0.15,0.84,0.14,0.66,0.79,20,8,1912,1699,0,0
cadd3edc-949,generation_-1,009e230a,0.0,0.0,0.0,0,,0.83,0.93,0.7,0.16,0.9,0.06,0,0,0,0,0,0
cadd3edc-949,generation_0,009e230a,0.39056818181818176,0.13568181818181815,0.0,44,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,27,137,0,0
cadd3edc-949,generation_1,104bc35d,0.2445197740112994,0.09581920903954799,0.0,59,0.0,0.495,0.62,0.62,0.58,0.625,0.27,0,1,246,229,0,0
cadd3edc-949,generation_1,6264a85a,0.07749999999999999,0.05499999999999999,0.09581920903954799,2,0.0,0.655,0.6950000000000001,0.6599999999999999,0.21500000000000002,0.88,0.31000000000000005,0,0,7,10,0,0
cadd3edc-949,generation_1,351e1ee5,-0.02750000000000001,0.024999999999999994,0.07540960451977399,2,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,11,0,0
cadd3edc-949,generation_1,fd518c12,-0.02750000000000001,0.024999999999999994,0.05860640301318266,2,0.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,8,10,0,0
cadd3edc-949,generation_1,d7f21d4b,0.3685601265822785,0.1307911392405063,0.050204802259886994,316,0.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,1249,1262,0,0
cadd3edc-949,generation_1,26a8177b,0.3720312499999999,0.13156249999999997,0.06632206965601087,160,0.0,0.605,0.92,0.74,0.34500000000000003,0.5800000000000001,0.235,0,0,614,639,0,0
cadd3edc-949,generation_1,582eea06,0.28375,0.1075,0.07719547471334239,20,0.0,0.605,0.92,0.74,0.34500000000000003,0.5800000000000001,0.235,0,0,78,78,0,0
cadd3edc-949,generation_1,1794b893,0.11249999999999996,0.06499999999999997,0.08152469261143633,2,0.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,12,12,0,0
cadd3edc-949,generation_1,875e023a,-0.0975,0.0049999999999999975,0.07945910603500678,2,1.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,9,12,0,0
cadd3edc-949,generation_1,e6b43e8d,0.36752036659877796,0.13056008146639508,0.07118587203111713,982,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,3912,3925,0,0
cadd3edc-949,generation_1,009e230a,0.4257844210873872,0.252053103675985,0.07712329297464493,826,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,3164,3259,0,0
cadd3edc-949,generation_1,009e230a,0.28496986166007904,0.2118720904699165,0.09302600303840312,207,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,683,785,0,0
cadd3edc-949,generation_1,2bb4a0a9,0.04249999999999998,0.044999999999999984,0.1029298436576959,2,1.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,10,12,0,0
cadd3edc-949,generation_1,ba39bc80,0.2935849056603773,0.10968553459119494,0.09847370183787313,159,1.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,609,639,0,0
cadd3edc-949,generation_1,2c656e94,0.04249999999999998,0.044999999999999984,0.09927454703453897,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10,11,0,0
cadd3edc-949,generation_1,1132f824,0.29456563706563704,0.1099034749034749,0.09565624389890304,518,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,2070,2072,0,0
cadd3edc-949,generation_1,94b7178f,0.3664818880351262,0.13032930845225024,0.09654669583668879,911,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,3030,3640,0,0
cadd3edc-949,generation_1,c34c86a9,-0.0975,0.0049999999999999975,0.09853390834348652,2,2.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,10,11,0,0
cadd3edc-949,generation_1,3da29891,0.15238372093023256,0.06941860465116277,0.09333758010218171,86,2.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,405,282,0,0
cadd3edc-949,generation_1,f81d07f9,-0.02750000000000001,0.024999999999999994,0.09207868665739123,2,2.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,10,11,0,0
cadd3edc-949,generation_1,24595449,-0.02750000000000001,0.024999999999999994,0.08872475232452168,2,2.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,10,10,0,0
cadd3edc-949,generation_1,009e230a,0.4300532657839496,0.2530017358307767,0.08569024030906826,563,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,2099,2209,0,0
cadd3edc-949,generation_1,15fccc5e,0.05666666666666664,0.046666666666666655,0.09329530828732774,3,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,13,13,0,0
cadd3edc-949,generation_1,7311d1b1,0.07999999999999996,0.05333333333333331,0.09126797604295117,3,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,14,12,0,0
cadd3edc-949,generation_1,d58892c4,-0.0016666666666666913,0.029999999999999992,0.08968736593005043,3,4.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,14,12,0,0
cadd3edc-949,generation_1,940121f6,0.22295454545454543,0.08954545454545453,0.0872998712928484,110,4.0,0.495,0.62,0.62,0.58,0.625,0.27,0,0,474,397,0,0
cadd3edc-949,generation_1,7a8c032e,0.196875,0.08374999999999998,0.0873862398794871,8,4.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,35,26,0,0
cadd3edc-949,generation_1,c193259d,-0.02750000000000001,0.024999999999999994,0.08725156432839497,2,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_1,a6665986,0.3064194139194139,0.11327838827838825,0.08502829417380943,910,5.0,0.69,0.895,0.665,0.445,0.46,0.42500000000000004,0,0,3899,3078,0,0
cadd3edc-949,generation_1,985c95f3,-0.0975,0.0049999999999999975,0.08600243534982939,2,5.0,0.69,0.895,0.665,0.445,0.46,0.42500000000000004,0,0,10,11,0,0
cadd3edc-949,generation_1,515a582e,0.29787356321839076,0.11063856960408681,0.08330235417150174,783,5.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,3147,3125,0,0
cadd3edc-949,generation_1,d74458b5,0.425535672269005,0.2478900083768224,0.08418416757255287,1886,5.0,0.62,0.7,0.56,0.38,0.46,0.73,0,0,7837,6950,0,0
cadd3edc-949,generation_1,c3e74580,-0.0975,0.0049999999999999975,0.08929997509768632,2,5.0,0.605,0.92,0.74,0.34500000000000003,0.5800000000000001,0.235,0,0,12,12,0,0
cadd3edc-949,generation_1,009e230a,0.4606722027972028,0.25980594405594404,0.08674543039775642,65,5.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,108,217,0,0
cadd3edc-949,generation_2,36b39dbb,0.18598214285714287,0.07910714285714285,0.0,56,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,222,219,0,0
cadd3edc-949,generation_2,493306fd,-0.02750000000000001,0.024999999999999994,0.07910714285714285,2,0.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,7,11,0,0
cadd3edc-949,generation_2,9264cb02,0.3664056643065389,0.13031236984589753,0.05205357142857142,2401,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7741,9601,0,0
cadd3edc-949,generation_2,d74458b5,0.4787982560173223,0.3536005080386406,0.07813983756768013,2002,0.0,0.62,0.7,0.56,0.38,0.46,0.73,0,0,8291,7405,0,0
cadd3edc-949,generation_2,fa2748fc,0.14999999999999997,0.0733333333333333,0.14700500518542026,3,0.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,13,13,0,0
cadd3edc-949,generation_2,3bea7cc1,0.11249999999999996,0.06499999999999997,0.13227067081500285,2,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,11,11,0,0
cadd3edc-949,generation_2,8d1ada25,0.2125,0.08722222222222219,0.12105889234583571,18,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,62,72,0,0
cadd3edc-949,generation_2,4c9798a5,0.36634146341463414,0.13029810298102978,0.11622508232817663,1845,1.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,7375,7378,0,0
cadd3edc-949,generation_2,b354e58e,0.04249999999999998,0.044999999999999984,0.11798420990978328,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7,9,0,0
cadd3edc-949,generation_2,023b4daf,0.04249999999999998,0.044999999999999984,0.10987485325314068,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7,10,0,0
cadd3edc-949,generation_2,4c93ed9e,-0.02750000000000001,0.024999999999999994,0.10338736792782661,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,8,10,0,0
cadd3edc-949,generation_2,3a641f9f,0.04249999999999998,0.044999999999999984,0.09626124357075146,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7,9,0,0
cadd3edc-949,generation_2,92ec196d,0.38945652173913037,0.13543478260869563,0.09198947327318883,46,1.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,163,172,0,0
cadd3edc-949,generation_2,7f02e265,0.01916666666666665,0.03833333333333332,0.09533142014515089,2,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_2,748d0a28,0.07749999999999999,0.05499999999999999,0.09126012823002107,2,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10,10,0,0
cadd3edc-949,generation_2,0d4751cb,0.2189189189189189,0.08864864864864862,0.08884278634801966,37,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,165,149,0,0
cadd3edc-949,generation_2,89eb1df8,0.29490625,0.10997916666666664,0.08883065274180899,2400,2.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,10450,7810,0,0
cadd3edc-949,generation_2,ecf91545,0.2930434782608695,0.10956521739130433,0.09007468297268297,115,2.0,0.83,0.93,0.7,0.16,0.9,0.06,2,0,454,442,0,0
cadd3edc-949,generation_2,666f9ee2,0.2938341968911917,0.10974093264248704,0.09115749044038417,193,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,778,771,0,0
cadd3edc-949,generation_2,d38b7e00,-0.02750000000000001,0.024999999999999994,0.092135566345758,2,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10,9,0,0
cadd3edc-949,generation_2,7251239d,0.29000000000000004,0.10888888888888888,0.08877878802847008,45,2.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,1,0,164,167,0,0
cadd3edc-949,generation_2,7aff7415,-0.039166666666666676,0.021666666666666664,0.08973641187896622,2,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,8,10,0,0
cadd3edc-949,generation_2,575af97d,0.19208333333333333,0.08416666666666664,0.08664233255113442,4,3.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,1,0,18,9,0,0
cadd3edc-949,generation_2,34194066,-0.0975,0.0049999999999999975,0.08653469490398366,2,3.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,13,12,0,0
cadd3edc-949,generation_2,a145f220,-0.02750000000000001,0.024999999999999994,0.083137415949651,2,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_2,3a3f1cfb,-0.02750000000000001,0.024999999999999994,0.08081191931166495,2,3.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,9,9,0,0
cadd3edc-949,generation_2,6ade5185,0.07999999999999996,0.05333333333333331,0.07866530703044707,3,3.0,0.83,0.93,0.7,0.16,0.9,0.06,1,0,10,9,0,0
cadd3edc-949,generation_2,06d6ef35,0.29624492807082253,0.110276650682405,0.07772708578240582,2711,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10845,10841,0,0
cadd3edc-949,generation_2,bf4594cb,-0.02750000000000001,0.024999999999999994,0.07888957024312007,2,3.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,11,12,0,0
cadd3edc-949,generation_2,ad9daf17,0.01916666666666665,0.03833333333333332,0.07703130920025386,2,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,8,9,0,0
cadd3edc-949,generation_2,8cb57192,0.29426470588235293,0.10983660130718953,0.07574137667135651,306,4.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,1235,1224,0,0
cadd3edc-949,generation_2,219a3c88,-0.0975,0.0049999999999999975,0.07684122262735112,2,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,11,10,0,0
cadd3edc-949,generation_2,393b5e1b,-0.0975,0.0049999999999999975,0.0745961844202464,2,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_2,4916f090,-0.0975,0.0049999999999999975,0.07248720913478439,2,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_2,009e230a,0.48183159374409373,0.3638073316323316,0.07050229121905544,2775,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10949,11057,0,0
cadd3edc-949,generation_2,b457394b,0.12285714285714283,0.06285714285714285,0.07888243523086333,7,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,28,22,0,0
cadd3edc-949,generation_2,d7f21d4b,0.3065352762241193,0.21423334314591302,0.0784372882204822,344,5.0,0.705,0.66,0.8049999999999999,0.47500000000000003,0.495,0.4,0,0,1367,1378,0,0
cadd3edc-949,generation_2,450aa1e2,0.3710538116591928,0.1313452914798206,0.08210745186711547,223,5.0,0.7675,0.795,0.7525,0.3175,0.6975,0.23,0,0,883,883,0,0
cadd3edc-949,generation_2,fca6f9fc,0.3686644951140065,0.13081433224755698,0.08340318448850245,307,5.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,1226,1225,0,0
cadd3edc-949,generation_2,009e230a,0.34088994755244756,0.3235980769230769,0.08461885494386283,220,5.0,0.83,0.93,0.7,0.16,0.9,0.06,2,0,726,821,0,0
cadd3edc-949,generation_2,2a9da197,0.2228155339805825,0.08951456310679609,0.09059333549334317,103,5.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,416,408,0,0
cadd3edc-949,generation_2,42304a82,0.3707989690721649,0.1312886597938144,0.09056702397172008,194,5.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,773,773,0,0
cadd3edc-949,generation_2,004e6c88,-0.0975,0.0049999999999999975,0.09153658672938898,2,5.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,9,0,0
cadd3edc-949,generation_2,553d5787,-0.0975,0.0049999999999999975,0.08952410796824041,2,5.0,0.7675,0.795,0.7525,0.3175,0.6975,0.23,0,0,10,10,0,0
cadd3edc-949,generation_2,e2ee79e6,0.3065446493130875,0.11330621836587126,0.08760310551441676,1844,6.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7381,7378,0,0
cadd3edc-949,generation_3,d1cc8ed6,0.07749999999999999,0.05499999999999999,0.0,2,0.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,6,9,0,0
cadd3edc-949,generation_3,5060b932,0.23708333333333328,0.09416666666666663,0.05499999999999999,20,0.0,0.79875,0.8625,0.72625,0.23875000000000002,0.7987500000000001,0.14500000000000002,1,0,75,78,0,0
cadd3edc-949,generation_3,3909eb41,-0.0975,0.0049999999999999975,0.07458333333333331,2,0.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,10,12,0,0
cadd3edc-949,generation_3,dfecc988,-0.02750000000000001,0.024999999999999994,0.05138888888888887,2,0.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,9,12,0,0
cadd3edc-949,generation_3,74e692ae,0.36595338983050846,0.13021186440677965,0.04479166666666665,1180,0.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,4713,4717,0,0
cadd3edc-949,generation_3,500b4555,0.2966981132075472,0.11037735849056603,0.061875706214689255,530,0.0,0.69375,0.7475,0.65625,0.34875,0.57875,0.48,0,0,2147,2082,0,0
cadd3edc-949,generation_3,72f034ca,0.14999999999999997,0.0733333333333333,0.06995931492733538,3,0.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,12,13,0,0
cadd3edc-949,generation_3,024658a5,-0.21000000000000002,-0.019999999999999997,0.07044131755676365,1,1.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,5,8,0,0
cadd3edc-949,generation_3,9a0f0b74,-0.0975,0.0049999999999999975,0.059136152862168195,2,1.0,0.79875,0.8625,0.72625,0.23875000000000002,0.7987500000000001,0.14500000000000002,0,0,9,12,0,0
cadd3edc-949,generation_3,7493ba13,0.12999999999999998,0.06444444444444443,0.05312102476637173,9,1.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,32,38,0,0
cadd3edc-949,generation_3,a920b626,0.2934265734265734,0.10965034965034963,0.054253366734179,143,1.0,0.7424999999999999,0.8600000000000001,0.73625,0.28500000000000003,0.71875,0.18875,0,0,573,574,0,0
cadd3edc-949,generation_3,d342efec,-0.02750000000000001,0.024999999999999994,0.05928945609019451,2,1.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,11,12,0,0
cadd3edc-949,generation_3,fac61cce,-0.02750000000000001,0.024999999999999994,0.05643200141601163,2,1.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,10,12,0,0
cadd3edc-949,generation_3,2da2129f,-0.02750000000000001,0.024999999999999994,0.05401415515324151,2,1.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,10,12,0,0
cadd3edc-949,generation_3,9acdb178,0.009999999999999981,0.033333333333333326,0.051941715499438545,3,2.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,13,11,0,0
cadd3edc-949,generation_3,de95edb2,0.37281249999999994,0.13173611111111108,0.05070115668836486,144,2.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,556,575,0,0
cadd3edc-949,generation_3,f3654cbf,-0.0975,0.0049999999999999975,0.0557658413397865,2,2.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,10,11,0,0
cadd3edc-949,generation_3,40079754,-0.0975,0.0049999999999999975,0.05277961537862259,2,2.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,12,12,0,0
cadd3edc-949,generation_3,64e9d9ce,-0.0975,0.0049999999999999975,0.05012519230203245,2,2.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,10,12,0,0
cadd3edc-949,generation_3,94342650,-0.0975,0.0049999999999999975,0.04775018218087285,2,2.0,0.62,0.7,0.56,0.38,0.46,0.73,0,0,11,12,0,0
cadd3edc-949,generation_3,d3cebcf1,0.23999999999999996,0.09481481481481478,0.0456126730718292,27,3.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,80,104,0,0
cadd3edc-949,generation_3,3fadf242,0.294296875,0.10984374999999999,0.04795563220244756,320,3.0,0.79875,0.8625,0.72625,0.23875000000000002,0.7987500000000001,0.14500000000000002,1,0,1276,1272,0,0
cadd3edc-949,generation_3,5d5f52fd,0.29488232217573224,0.10997384937238493,0.05076872846597267,1912,3.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,9514,6451,0,0
cadd3edc-949,generation_3,afaceb57,0.07999999999999996,0.05333333333333331,0.05334286415755581,3,3.0,0.79875,0.8625,0.72625,0.23875000000000002,0.7987500000000001,0.14500000000000002,0,0,15,13,0,0
cadd3edc-949,generation_3,ad128c65,0.22457466918714555,0.08990548204158787,0.05334246703987988,529,3.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,2119,2106,0,0
cadd3edc-949,generation_3,92ec196d,0.4356491562170397,0.254047638579632,0.054804987639948205,371,4.0,0.7175,0.925,0.72,0.2525,0.74,0.1475,0,0,202,875,0,0
cadd3edc-949,generation_3,bf3bf878,0.05666666666666664,0.046666666666666655,0.06246816652224373,3,4.0,0.7737499999999999,0.9275,0.71,0.20625,0.8200000000000001,0.10375,0,0,13,13,0,0
cadd3edc-949,generation_3,f065fa79,0.36850467289719624,0.13077881619937692,0.061882925786851985,321,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,1255,1278,0,0
cadd3edc-949,generation_3,55637568,-0.04125000000000001,0.017499999999999995,0.06434349330158502,4,4.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,19,17,0,0
cadd3edc-949,generation_3,10661d14,0.3655880815473079,0.13013068478829062,0.06272820042911657,1913,4.0,0.83,0.93,0.7,0.16,0.9,0.06,0,0,7684,7643,0,0
cadd3edc-949,generation_3,059714cc,0.2948091603053435,0.10995759117896521,0.06497494990775571,1179,4.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,4738,4708,0,0
cadd3edc-949,generation_3,fd5032a5,0.5257142857142857,0.16571428571428568,0.06642600285198827,7,4.0,0.725,0.815,0.63,0.27,0.68,0.395,0,0,20,21,0,0
cadd3edc-949,generation_3,3d9ae5da,-0.039166666666666676,0.021666666666666664,0.06952876169143506,2,5.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,17,9,0,0
cadd3edc-949,generation_3,1085ff60,0.38456521739130434,0.1343478260869565,0.06807839517553298,69,5.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,229,226,0,0
cadd3edc-949,generation_3,564233c0,0.2202127659574468,0.08893617021276594,0.0700274960846925,47,5.0,0.62,0.7,0.56,0.38,0.46,0.73,0,0,221,149,0,0
cadd3edc-949,generation_3,b562759b,0.10999999999999999,0.059999999999999984,0.07056774391692316,5,5.0,0.66875,0.8125,0.64,0.31625000000000003,0.6,0.43875,0,0,24,17,0,0
